id,product_id,brand,product_line,product_class,product_size
56,22,WeareA2B,Standard,medium,medium
57,22,Solex,Standard,medium,medium
58,23,Norco Bicycles,Standard,medium,medium
59,23,Norco Bicycles,Mountain,low,small
60,24,Solex,Road,medium,large
61,25,OHM Cycles,Standard,high,medium
62,25,Giant Bicycles,Road,medium,medium
63,26,WeareA2B,Standard,medium,medium
64,27,Trek Bicycles,Standard,medium,medium
65,27,Trek Bicycles,Standard,low,medium
66,28,Solex,Road,medium,small
67,28,Norco Bicycles,Standard,medium,small
68,29,Norco Bicycles,Road,medium,medium
69,29,WeareA2B,Standard,medium,medium
70,30,Solex,Standard,high,medium
71,30,OHM Cycles,Standard,medium,medium
72,31,WeareA2B,Standard,medium,medium
73,31,Giant Bicycles,Standard,medium,medium
74,32,Giant Bicycles,Standard,high,medium
75,32,Giant Bicycles,Standard,medium,medium
76,33,Giant Bicycles,Standard,medium,small
77,33,OHM Cycles,Road,medium,small
78,34,Norco Bicycles,Road,high,large
79,34,WeareA2B,Standard,medium,medium
80,35,Trek Bicycles,Standard,low,medium
81,35,Giant Bicycles,Standard,medium,medium
82,36,Solex,Standard,low,medium
83,37,OHM Cycles,Standard,low,medium
84,38,Trek Bicycles,Standard,medium,large
85,38,Solex,Standard,medium,medium
86,39,Giant Bicycles,Standard,medium,large
87,40,OHM Cycles,Standard,high,medium
88,40,Trek Bicycles,Road,medium,large
89,41,Norco Bicycles,Standard,low,medium
90,41,Solex,Road,medium,medium
91,42,OHM Cycles,Road,medium,small
92,43,Norco Bicycles,Standard,medium,medium
93,43,Solex,Standard,medium,medium
94,44,WeareA2B,Standard,medium,medium
95,45,Solex,Standard,medium,medium
96,45,Trek Bicycles,Road,low,medium
97,46,OHM Cycles,Standard,low,medium
98,46,Solex,Standard,low,medium
99,47,Trek Bicycles,Road,low,small
100,48,WeareA2B,Standard,medium,medium
101,49,Solex,Standard,medium,large
102,49,Trek Bicycles,Road,medium,medium
103,50,Giant Bicycles,Standard,medium,medium
104,50,WeareA2B,Standard,medium,small
105,51,OHM Cycles,Standard,high,medium
106,52,OHM Cycles,Road,medium,medium
107,52,Solex,Road,medium,large
108,53,Giant Bicycles,Standard,high,medium
109,53,OHM Cycles,Standard,medium,medium
110,54,WeareA2B,Standard,medium,medium
111,55,Trek Bicycles,Road,medium,large
112,56,Norco Bicycles,Mountain,low,small
113,56,OHM Cycles,Standard,medium,medium
114,57,WeareA2B,Touring,medium,large
115,58,OHM Cycles,Road,medium,medium
116,58,OHM Cycles,Standard,medium,medium
117,59,WeareA2B,Standard,medium,small
118,59,Solex,Standard,medium,large
119,60,Giant Bicycles,Standard,high,small
120,61,OHM Cycles,Standard,low,medium
121,61,Norco Bicycles,Standard,medium,small
122,62,Solex,Standard,high,medium
123,62,Solex,Standard,medium,medium
124,63,WeareA2B,Standard,medium,medium
125,63,Solex,Standard,medium,medium
126,64,Trek Bicycles,Standard,medium,large
127,64,Giant Bicycles,Standard,high,small
128,65,WeareA2B,Standard,medium,medium
129,66,Solex,Standard,medium,medium
130,66,Giant Bicycles,Road,low,small
131,67,Solex,Standard,medium,large
132,67,Norco Bicycles,Road,medium,medium
133,68,OHM Cycles,Standard,medium,medium
134,69,Norco Bicycles,Road,medium,large
135,69,Giant Bicycles,Road,medium,medium
136,70,Norco Bicycles,Road,medium,medium
137,70,Trek Bicycles,Standard,high,medium
138,71,Solex,Standard,high,large
139,72,Norco Bicycles,Standard,medium,medium
140,72,OHM Cycles,Standard,medium,medium
141,73,Solex,Standard,medium,medium
142,74,WeareA2B,Standard,medium,medium
143,75,Giant Bicycles,Touring,medium,large
144,76,WeareA2B,Standard,low,medium
145,76,WeareA2B,Road,low,small
146,77,Norco Bicycles,Road,medium,large
147,77,WeareA2B,Standard,medium,medium
148,78,Giant Bicycles,Standard,medium,large
149,79,Solex,Touring,medium,large
150,79,Norco Bicycles,Standard,medium,medium
151,80,OHM Cycles,Touring,low,medium
152,80,Trek Bicycles,Standard,medium,large
153,81,Solex,Standard,medium,medium
154,81,Norco Bicycles,Standard,medium,small
155,82,Giant Bicycles,Road,medium,medium
156,82,Norco Bicycles,Standard,high,medium
157,83,Solex,Touring,medium,large
158,84,Trek Bicycles,Road,medium,medium
159,84,Giant Bicycles,Road,medium,medium
160,85,WeareA2B,Standard,medium,medium
161,86,OHM Cycles,Standard,medium,medium
162,86,Norco Bicycles,Road,high,large
163,87,Giant Bicycles,Standard,high,medium
164,87,OHM Cycles,Standard,medium,medium
165,88,Norco Bicycles,Standard,high,small
166,88,Norco Bicycles,Standard,medium,medium
167,89,Giant Bicycles,Standard,medium,large
168,89,WeareA2B,Touring,medium,large
169,90,Solex,Standard,low,medium
170,90,Norco Bicycles,Standard,low,medium
171,91,Solex,Standard,medium,medium
172,91,WeareA2B,Standard,low,medium
173,92,WeareA2B,Touring,medium,large
174,92,WeareA2B,Standard,medium,small
175,93,OHM Cycles,Standard,high,medium
176,93,WeareA2B,Standard,medium,medium
177,94,Giant Bicycles,Standard,medium,large
178,95,OHM Cycles,Touring,low,medium
179,95,Giant Bicycles,Standard,medium,large
180,96,Giant Bicycles,Standard,medium,large
181,96,WeareA2B,Road,low,small
182,97,Solex,Standard,medium,large
183,97,OHM Cycles,Road,medium,medium
184,98,Trek Bicycles,Standard,high,medium
185,98,OHM Cycles,Standard,medium,medium
186,99,Trek Bicycles,Road,low,small
187,99,OHM Cycles,Standard,medium,medium
188,100,Trek Bicycles,Standard,medium,small
189,100,Norco Bicycles,Road,medium,medium
